import time: self [us] | cumulative | imported package
import time:       227 |       1527 |                       sympy.polys.agca.extensions
import time:       195 |       1721 |                     sympy.polys.matrices.eigen
import time:       289 |       2010 |                   sympy.matrices.eigen
import time:       135 |        135 |                   sympy.matrices.graph
import time:       191 |        191 |                   sympy.matrices.solvers
import time:       178 |        178 |                   sympy.matrices.inverse
import time:      1196 |       3992 |                 sympy.matrices.matrices
import time:       466 |        466 |                 sympy.matrices.repmatrix
import time:       346 |       5225 |               sympy.matrices.dense
import time:       293 |        293 |               sympy.matrices.sparse
import time:       148 |        148 |               sympy.matrices.sparsetools
import time:       962 |        962 |                             sympy.matrices.expressions.special
import time:       353 |       1314 |                           sympy.matrices.expressions.matpow
import time:       320 |       1633 |                         sympy.matrices.expressions.inverse
import time:       312 |        312 |                         sympy.matrices.expressions.transpose
import time:       452 |        452 |                         sympy.matrices.expressions.permutation
import time:       530 |       2926 |                       sympy.matrices.expressions.matmul
import time:       423 |        423 |                       sympy.matrices.expressions.matadd
import time:       375 |        375 |                       sympy.matrices.expressions.determinant
import time:      3107 |       6830 |                     sympy.matrices.expressions.matexpr
import time:       361 |       7190 |                   sympy.matrices.expressions.slice
import time:       283 |        283 |                     sympy.matrices.expressions.trace
import time:       716 |        999 |                   sympy.matrices.expressions.blockmatrix
import time:       287 |        287 |                   sympy.matrices.expressions.companion
import time:       280 |        280 |                   sympy.matrices.expressions.funcmatrix
import time:       302 |        302 |                   sympy.matrices.expressions.adjoint
import time:       474 |        474 |                   sympy.matrices.expressions.hadamard
import time:       584 |        584 |                   sympy.matrices.expressions.diagonal
import time:       233 |        233 |                   sympy.matrices.expressions.dotproduct
import time:      1089 |       1089 |                   sympy.matrices.expressions.kronecker
import time:       262 |        262 |                   sympy.matrices.expressions.sets
import time:       276 |      11970 |                 sympy.matrices.expressions
import time:      1984 |      13953 |               sympy.matrices.immutable
import time:       232 |      24921 |             sympy.matrices
import time:       206 |      25126 |           sympy.polys.partfrac
import time:       317 |        317 |           sympy.polys.fields
import time:       301 |     136269 |         sympy.polys
import time:       393 |        393 |           sympy.series.order
import time:       181 |        181 |                 sympy.calculus.euler
import time:       153 |        153 |                 sympy.calculus.singularities
import time:       276 |        276 |                 sympy.calculus.finite_diff
import time:      1106 |       1106 |                   sympy.calculus.accumulationbounds
import time:       235 |       1341 |                 sympy.calculus.util
import time:       202 |       2152 |               sympy.calculus
import time:        26 |       2178 |             sympy.calculus.accumulationbounds
import time:       312 |        312 |             sympy.series.gruntz
import time:       318 |       2807 |           sympy.series.limits
import time:       121 |        121 |           sympy.series.series
import time:       131 |        131 |           sympy.series.approximants
import time:       120 |        120 |           sympy.series.residues
import time:      1430 |       1430 |           sympy.series.sequences
import time:       268 |        268 |             sympy.series.series_class
import time:       506 |        774 |           sympy.series.fourier
import time:       206 |        206 |                 sympy.discrete.transforms
import time:       178 |        178 |                 sympy.discrete.convolutions
import time:       160 |        543 |               sympy.discrete
import time:        24 |        567 |             sympy.discrete.convolutions
import time:      1217 |       1783 |           sympy.series.formal
import time:       203 |        203 |           sympy.series.limitseq
import time:       250 |       8007 |         sympy.series
import time:       459 |        459 |               sympy.concrete.expr_with_limits
import time:       382 |        841 |             sympy.concrete.expr_with_intlimits
import time:       142 |        142 |                       sympy.polys.domainmatrix
import time:       369 |        511 |                     sympy.polys.solvers
import time:       179 |        179 |                     sympy.solvers.polysys
import time:       186 |        186 |                     sympy.solvers.bivariate
import time:       582 |       1456 |                   sympy.solvers.solvers
import time:       172 |        172 |                         sympy.polys.matrices.linsolve
import time:       790 |        962 |                       sympy.solvers.solveset
import time:       792 |       1753 |                     sympy.solvers.diophantine.diophantine
import time:       137 |       1890 |                   sympy.solvers.diophantine
import time:       217 |        217 |                   sympy.solvers.recurr
import time:       197 |        197 |                             sympy.integrals.rationaltools
import time:       160 |        160 |                             sympy.integrals.deltafunctions
import time:       615 |        615 |                             sympy.integrals.meijerint
import time:       188 |        188 |                             sympy.integrals.trigonometry
import time:       573 |       1730 |                           sympy.integrals.integrals
import time:       244 |        244 |                             sympy.solvers.inequalities
import time:      3069 |       3312 |                           sympy.integrals.transforms
import time:       151 |        151 |                           sympy.integrals.singularityfunctions
import time:       180 |       5372 |                         sympy.integrals
import time:        24 |       5396 |                       sympy.integrals.integrals
import time:       151 |        151 |                       sympy.solvers.deutils
import time:       223 |        223 |                         sympy.solvers.ode.riccati
import time:       186 |        186 |                         sympy.solvers.ode.hypergeometric
import time:       171 |        171 |                           sympy.solvers.ode.subscheck
import time:       224 |        394 |                         sympy.solvers.ode.nonhomogeneous
import time:       311 |        311 |                           sympy.solvers.pde
import time:       274 |        585 |                         sympy.solvers.ode.lie_group
import time:      1077 |       2463 |                       sympy.solvers.ode.single
import time:       704 |       8712 |                     sympy.solvers.ode.ode
import time:      1205 |       1205 |                     sympy.solvers.ode.systems
import time:       158 |      10075 |                   sympy.solvers.ode
import time:       147 |        147 |                   sympy.solvers.decompogen
import time:       219 |      14001 |                 sympy.solvers
import time:       149 |      14150 |               sympy.concrete.gosper
import time:       556 |      14705 |             sympy.concrete.summations
import time:       394 |      15940 |           sympy.concrete.products
import time:       142 |      16081 |         sympy.concrete
import time:       140 |        140 |             sympy.geometry.exceptions
import time:     11214 |      11214 |               sympy.sets.handlers.intersection
import time:      5155 |       5155 |               sympy.sets.handlers.union
import time:      2789 |      19157 |             sympy.geometry.entity
import time:       693 |      19989 |           sympy.geometry.point
import time:       206 |        206 |             sympy.geometry.util
import time:      1785 |       1991 |           sympy.geometry.line
import time:       501 |        501 |           sympy.geometry.plane
import time:       875 |        875 |             sympy.geometry.polygon
import time:       571 |       1445 |           sympy.geometry.ellipse
import time:       299 |        299 |           sympy.geometry.curve
import time:       287 |        287 |           sympy.geometry.parabola
import time:       223 |      24731 |         sympy.geometry
import time:       416 |        416 |           sympy.parsing.sympy_parser
import time:       142 |        557 |         sympy.parsing
import time:       399 |        399 |           sympy.algebras.quaternion
import time:       148 |        546 |         sympy.algebras
import time:       240 |        240 |             sympy.plotting.experimental_lambdify
import time:       140 |        140 |             sympy.plotting.textplot
import time:       780 |       1159 |           sympy.plotting.plot
import time:       135 |        135 |                 sympy.plotting.intervalmath.interval_membership
import time:       318 |        452 |               sympy.plotting.intervalmath.interval_arithmetic
import time:       162 |        162 |               sympy.plotting.intervalmath.lib_interval
import time:       157 |        771 |             sympy.plotting.intervalmath
import time:       206 |        976 |           sympy.plotting.plot_implicit
import time:       131 |        131 |           sympy.plotting.pygletplot
import time:       166 |       2430 |         sympy.plotting
import time:       253 |        253 |           sympy.interactive.printing
import time:       180 |        180 |           sympy.interactive.session
import time:       132 |        132 |           sympy.interactive.traversal
import time:       208 |        771 |         sympy.interactive
import time:      1358 |     314185 |       sympy
import time:       763 |        763 |         cirq.value.linear_dict
import time:       231 |        994 |       cirq.value.type_alias
import time:       234 |     439182 |     cirq.value.angle
import time:       201 |        201 |       cirq.value.digits
import time:       979 |        979 |         typing_extensions
import time:       252 |       1231 |       cirq.value.value_equality_attr
import time:       905 |       2336 |     cirq.value.classical_data
import time:       694 |        694 |       dataclasses
import time:       235 |        235 |             pytz.exceptions
import time:       426 |        426 |             pytz.lazy
import time:       236 |        236 |             pytz.tzinfo
import time:       159 |        159 |             pytz.tzfile
import time:       803 |       1858 |           pytz
import time:       156 |        156 |             dateutil._version
import time:       300 |        456 |           dateutil
import time:       327 |        327 |               mmap
import time:      2203 |       2530 |             pandas._typing
import time:       776 |        776 |                                   pandas._libs.tslibs.dtypes
import time:       157 |        157 |                                     pandas._libs.tslibs.base
import time:       181 |        181 |                                       pandas._libs.tslibs.np_datetime
import time:       335 |        515 |                                     pandas._libs.tslibs.nattype
import time:      1037 |       1037 |                                           six
import time:        40 |         40 |                                           six.moves
import time:       220 |        220 |                                           dateutil.tz._common
import time:       176 |        176 |                                           dateutil.tz._factories
import time:        27 |         27 |                                             six.moves.winreg
import time:       200 |        226 |                                           dateutil.tz.win
import time:       799 |       2496 |                                         dateutil.tz.tz
import time:       199 |       2694 |                                       dateutil.tz
import time:       369 |       3063 |                                     pandas._libs.tslibs.timezones
import time:       175 |        175 |                                       pandas._libs.tslibs.ccalendar
import time:       300 |        475 |                                     pandas._libs.tslibs.tzconversion
import time:       934 |        934 |                                             locale
import time:       619 |        619 |                                                 pandas._config.config
import time:       261 |        261 |                                                 pandas._config.dates
import time:       156 |        156 |                                                 pandas._config.display
import time:       209 |       1243 |                                               pandas._config
import time:       154 |       1396 |                                             pandas._config.localization
import time:       196 |        196 |                                               backports_abc
import time:       610 |        610 |                                               calendar
import time:       981 |       1785 |                                             pandas._libs.tslibs.strptime
import time:       347 |       4461 |                                           pandas._libs.tslibs.fields
import time:       633 |       5093 |                                         pandas._libs.tslibs.timedeltas
import time:       196 |        196 |                                           backports_abc
import time:       681 |        877 |                                         pandas._libs.tslibs.timestamps
import time:       196 |        196 |                                         backports_abc
import time:       127 |        127 |                                         dateutil.easter
import time:       216 |        216 |                                           dateutil._common
import time:       210 |        426 |                                         dateutil.relativedelta
import time:       183 |        183 |                                         pandas._libs.properties
import time:      1320 |       8220 |                                       pandas._libs.tslibs.offsets
import time:       198 |        198 |                                       backports_abc
import time:       699 |        699 |                                         dateutil.parser._parser
import time:       334 |        334 |                                         dateutil.parser.isoparser
import time:       234 |       1265 |                                       dateutil.parser
import time:       567 |      10249 |                                     pandas._libs.tslibs.parsing
import time:       370 |      14828 |                                   pandas._libs.tslibs.conversion
import time:       439 |        439 |                                   pandas._libs.tslibs.period
import time:       293 |        293 |                                   pandas._libs.tslibs.vectorized
import time:      1006 |      17339 |                                 pandas._libs.tslibs
import time:        50 |      17388 |                               pandas._libs.tslibs.nattype
import time:       174 |        174 |                               pandas._libs.ops_dispatch
import time:       314 |      17876 |                             pandas._libs.missing
import time:       527 |      18402 |                           pandas._libs.hashtable
import time:       517 |        517 |                           pandas._libs.algos
import time:       602 |      19520 |                         pandas._libs.interval
import time:       136 |      19655 |                       pandas._libs
import time:        22 |      19677 |                     pandas._libs.properties
import time:       370 |      20046 |                   pandas.util._decorators
import time:       141 |        141 |                       pandas.core
import time:       201 |        342 |                     pandas.core.util
import time:       281 |        281 |                       pandas._libs.tslib
import time:       698 |        978 |                     pandas._libs.lib
import time:       237 |        237 |                     pandas._libs.hashing
import time:       148 |        148 |                       pandas.core.dtypes
import time:       361 |        361 |                         pandas.errors
import time:       417 |        417 |                         pandas.core.dtypes.generic
import time:       220 |        997 |                       pandas.core.dtypes.base
import time:       901 |        901 |                         pandas.core.dtypes.inference
import time:      1127 |       2027 |                       pandas.core.dtypes.dtypes
import time:       367 |       3537 |                     pandas.core.dtypes.common
import time:       285 |       5378 |                   pandas.core.util.hashing
import time:       137 |      25560 |                 pandas.util
import time:      3481 |      29041 |               pandas.util.version
import time:       369 |      29410 |             pandas.compat.numpy
import time:       192 |        192 |               pyarrow
import time:       157 |        349 |             pandas.compat.pyarrow
import time:       252 |      32538 |           pandas.compat
import time:       960 |        960 |           pandas.core.config_init
import time:       208 |        208 |             pandas.core.dtypes.missing
import time:       133 |        133 |                 pandas.util._exceptions
import time:       164 |        164 |                 pandas.util._validators
import time:       410 |        707 |               pandas.core.dtypes.cast
import time:       140 |        140 |                 pandas.core.array_algos
import time:       368 |        368 |                   pandas.core.common
import time:       226 |        593 |                 pandas.core.construction
import time:       307 |       1040 |               pandas.core.array_algos.take
import time:       183 |        183 |               pandas.core.indexers
import time:       897 |       2825 |             pandas.core.algorithms
import time:       367 |        367 |                 pandas.compat.numpy.function
import time:       142 |        142 |                   pandas.compat._optional
import time:       277 |        418 |                 pandas.core.missing
import time:       120 |        120 |                   pandas.core.roperator
import time:       246 |        246 |                     pandas._libs.ops
import time:       135 |        135 |                       pandas.core.computation
import time:       310 |        310 |                       pandas.core.computation.check
import time:       269 |        713 |                     pandas.core.computation.expressions
import time:       221 |        221 |                     pandas.core.ops.missing
import time:       125 |        125 |                     pandas.core.ops.dispatch
import time:       125 |        125 |                     pandas.core.ops.invalid
import time:       310 |       1738 |                   pandas.core.ops.array_ops
import time:       157 |        157 |                   pandas.core.ops.common
import time:       172 |        172 |                   pandas.core.ops.docstrings
import time:       126 |        126 |                   pandas.core.ops.mask_ops
import time:       133 |        133 |                   pandas.core.ops.methods
import time:       324 |       2767 |                 pandas.core.ops
import time:       230 |        230 |                 pandas.core.sorting
import time:       648 |       4428 |               pandas.core.arrays.base
import time:       985 |        985 |                   pandas.core.nanops
import time:       154 |        154 |                   pandas.core.array_algos.masked_reductions
import time:       412 |        412 |                   pandas.core.arraylike
import time:       562 |       2111 |                 pandas.core.arrays.masked
import time:       289 |       2400 |               pandas.core.arrays.boolean
import time:        70 |         70 |                   _csv
import time:       519 |        588 |                 csv
import time:       192 |        192 |                 pandas._libs.arrays
import time:       461 |        461 |                 pandas.core.accessor
import time:       116 |        116 |                   pandas.core.array_algos.transforms
import time:       687 |        803 |                 pandas.core.arrays._mixins
import time:       841 |        841 |                 pandas.core.base
import time:      4256 |       4256 |                     pandas.core.strings.accessor
import time:       250 |        250 |                     pandas.core.strings.base
import time:       174 |       4678 |                   pandas.core.strings
import time:       410 |       5088 |                 pandas.core.strings.object_array
import time:       140 |        140 |                   pandas.io
import time:       193 |        332 |                 pandas.io.formats
import time:       167 |        167 |                 pandas.io.formats.console
import time:       799 |       9267 |               pandas.core.arrays.categorical
import time:       136 |        136 |                   pandas.tseries
import time:       367 |        367 |                   pandas.tseries.frequencies
import time:      2393 |       2895 |                 pandas.core.arrays.datetimelike
import time:       182 |        182 |                 pandas.core.arrays._ranges
import time:       236 |        236 |                   pandas.core.arrays.numeric
import time:       137 |        137 |                     pandas.core.tools
import time:       210 |        346 |                   pandas.core.tools.numeric
import time:       539 |       1120 |                 pandas.core.arrays.integer
import time:       142 |        142 |                 pandas.tseries.offsets
import time:       571 |       4908 |               pandas.core.arrays.datetimes
import time:       295 |        295 |               pandas.core.arrays.floating
import time:       130 |        130 |                   pandas.core.indexes
import time:       403 |        403 |                   pandas._libs.index
import time:       396 |        396 |                   pandas._libs.join
import time:       409 |        409 |                           pandas._libs.sparse
import time:       210 |        210 |                           pandas.core.arrays.sparse.dtype
import time:       366 |        366 |                           pandas.io.formats.printing
import time:       458 |       1441 |                         pandas.core.arrays.sparse.array
import time:       273 |       1713 |                       pandas.core.arrays.sparse.accessor
import time:       144 |       1857 |                     pandas.core.arrays.sparse
import time:       219 |       2075 |                   pandas.core.dtypes.concat
import time:       178 |        178 |                   pandas.core.array_algos.putmask
import time:       163 |        163 |                   pandas.core.indexes.frozen
import time:      2063 |       5405 |                 pandas.core.indexes.base
import time:      2154 |       7558 |               pandas.core.arrays.interval
import time:       272 |        272 |               pandas.core.arrays.numpy_
import time:       633 |        633 |               pandas.core.arrays.period
import time:       306 |        306 |               pandas.core.arrays.string_
import time:       552 |        552 |               pandas.core.arrays.string_arrow
import time:       448 |        448 |               pandas.core.arrays.timedeltas
import time:       308 |      31369 |             pandas.core.arrays
import time:       162 |        162 |             pandas.core.flags
import time:       413 |        413 |                 pandas._libs.reduction
import time:       755 |        755 |                       pandas.core.indexes.extension
import time:       568 |       1323 |                     pandas.core.indexes.category
import time:       587 |        587 |                         pandas.core.indexes.numeric
import time:       154 |        154 |                         pandas.core.tools.timedeltas
import time:       776 |       1516 |                       pandas.core.indexes.datetimelike
import time:       154 |        154 |                       pandas.core.tools.times
import time:      1754 |       3423 |                     pandas.core.indexes.datetimes
import time:      2634 |       2634 |                       pandas.core.indexes.multi
import time:       270 |        270 |                       pandas.core.indexes.timedeltas
import time:      1169 |       4073 |                     pandas.core.indexes.interval
import time:       609 |        609 |                     pandas.core.indexes.period
import time:       658 |        658 |                     pandas.core.indexes.range
import time:       272 |      10356 |                   pandas.core.indexes.api
import time:       203 |      10558 |                 pandas.core.aggregation
import time:       590 |        590 |                 pandas.core.apply
import time:       295 |        295 |                           _json
import time:       585 |        879 |                         json.scanner
import time:       461 |       1340 |                       json.decoder
import time:       510 |        510 |                       json.encoder
import time:       331 |       2179 |                     json
import time:       169 |        169 |                       pandas._libs.indexing
import time:      2160 |       2329 |                     pandas.core.indexing
import time:       146 |        146 |                         pandas.core.reshape
import time:       215 |        215 |                               backports_abc
import time:       382 |        596 |                             pandas._libs.internals
import time:       266 |        266 |                               pandas._libs.writers
import time:       165 |        165 |                               pandas.core.array_algos.quantile
import time:       151 |        151 |                               pandas.core.array_algos.replace
import time:       855 |       1436 |                             pandas.core.internals.blocks
import time:       193 |       2224 |                           pandas.core.internals.api
import time:       238 |        238 |                             pandas.core.internals.base
import time:       590 |        828 |                           pandas.core.internals.array_manager
import time:       250 |        250 |                               pandas.core.internals.ops
import time:       659 |        909 |                             pandas.core.internals.managers
import time:       283 |       1192 |                           pandas.core.internals.concat
import time:       162 |       4404 |                         pandas.core.internals
import time:       401 |       4950 |                       pandas.core.reshape.concat
import time:      1151 |       1151 |                           gzip
import time:       801 |        801 |                           zipfile
import time:      1461 |       3412 |                         pandas.io.common
import time:       699 |       4110 |                       pandas.io.formats.format
import time:       267 |       9327 |                     pandas.core.describe
import time:       317 |        317 |                     pandas.core.internals.construction
import time:       138 |        138 |                     pandas.core.shared_docs
import time:       131 |        131 |                           pandas._libs.window
import time:      1427 |       1558 |                         pandas._libs.window.aggregations
import time:       179 |        179 |                         pandas.core.util.numba_
import time:       157 |        157 |                         pandas.core.window.common
import time:       559 |        559 |                         pandas.core.window.doc
import time:       227 |        227 |                           pandas._libs.window.indexers
import time:       668 |        895 |                         pandas.core.window.indexers
import time:       186 |        186 |                         pandas.core.window.numba_
import time:       229 |        229 |                         pandas.core.window.online
import time:      2322 |       2322 |                         pandas.core.window.rolling
import time:       778 |       6860 |                       pandas.core.window.ewm
import time:      1146 |       1146 |                       pandas.core.window.expanding
import time:       159 |       8164 |                     pandas.core.window
import time:     10208 |      32658 |                   pandas.core.generic
import time:       125 |        125 |                     pandas.core.reshape.util
import time:       473 |        597 |                   pandas.core.reshape.melt
import time:       266 |        266 |                     pandas._libs.reshape
import time:       546 |        546 |                     pandas.core.indexes.accessors
import time:       141 |        141 |                       pandas.arrays
import time:       431 |        572 |                     pandas.core.tools.datetimes
import time:      2490 |       2490 |                       pandas.plotting._core
import time:       202 |        202 |                       pandas.plotting._misc
import time:       181 |       2872 |                     pandas.plotting
import time:      5549 |       9802 |                   pandas.core.series
import time:       559 |        559 |                   pandas.io.formats.info
import time:     14826 |      58440 |                 pandas.core.frame
import time:       267 |        267 |                 pandas.core.groupby.base
import time:       509 |        509 |                   pandas._libs.groupby
import time:       162 |        162 |                   pandas.core.groupby.numba_
import time:       134 |        134 |                       pandas.core.groupby.categorical
import time:       304 |        438 |                     pandas.core.groupby.grouper
import time:       578 |       1016 |                   pandas.core.groupby.ops
import time:      3462 |       5147 |                 pandas.core.groupby.groupby
import time:      3320 |      78734 |               pandas.core.groupby.generic
import time:       153 |      78886 |             pandas.core.groupby
import time:       233 |     113680 |           pandas.core.api
import time:       147 |        147 |           pandas.tseries.api
import time:       116 |        116 |                   pandas.core.computation.common
import time:       196 |        312 |                 pandas.core.computation.align
import time:       206 |        206 |                       pandas.compat.chainmap
import time:       197 |        402 |                     pandas.core.computation.scope
import time:       381 |        783 |                   pandas.core.computation.ops
import time:       221 |        221 |                   pandas.core.computation.parsing
import time:      2180 |       3183 |                 pandas.core.computation.expr
import time:       224 |       3718 |               pandas.core.computation.engines
import time:       171 |       3889 |             pandas.core.computation.eval
import time:       119 |       4007 |           pandas.core.computation.api
import time:      1034 |       1034 |             pandas.core.reshape.merge
import time:      1416 |       1416 |             pandas.core.reshape.pivot
import time:       342 |        342 |             pandas.core.reshape.reshape
import time:       213 |        213 |             pandas.core.reshape.tile
import time:       196 |       3199 |           pandas.core.reshape.api
import time:       188 |        188 |             pandas.api.extensions
import time:       125 |        125 |             pandas.api.indexers
import time:       128 |        128 |               pandas.core.dtypes.api
import time:       142 |        270 |             pandas.api.types
import time:       195 |        777 |           pandas.api
import time:       163 |        163 |           pandas.util._print_versions
import time:       260 |        260 |             pandas.io.clipboards
import time:       204 |        204 |                   backports_abc
import time:       496 |        699 |                 pandas._libs.parsers
import time:       167 |        167 |                 pandas.io.excel._util
import time:       140 |        140 |                       pandas.io.date_converters
import time:       595 |        735 |                     pandas.io.parsers.base_parser
import time:       214 |        214 |                     pandas.io.parsers.c_parser_wrapper
import time:       329 |        329 |                     pandas.io.parsers.python_parser
import time:      2955 |       4231 |                   pandas.io.parsers.readers
import time:       153 |       4383 |                 pandas.io.parsers
import time:       355 |        355 |                 pandas.io.excel._odfreader
import time:       290 |        290 |                 pandas.io.excel._openpyxl
import time:       187 |        187 |                 pandas.io.excel._pyxlsb
import time:       178 |        178 |                 pandas.io.excel._xlrd
import time:      1516 |       7771 |               pandas.io.excel._base
import time:       218 |        218 |                 pandas._libs.json
import time:       174 |        174 |                   pandas.io.formats._color_data
import time:       323 |        323 |                   pandas.io.formats.css
import time:       509 |       1006 |                 pandas.io.formats.excel
import time:       238 |       1461 |               pandas.io.excel._odswriter
import time:       242 |        242 |               pandas.io.excel._xlsxwriter
import time:       225 |        225 |               pandas.io.excel._xlwt
import time:       179 |       9875 |             pandas.io.excel
import time:       422 |        422 |             pandas.io.feather_format
import time:       152 |        152 |             pandas.io.gbq
import time:       569 |        569 |             pandas.io.html
import time:      1013 |       1013 |                 pandas.io.json._normalize
import time:       215 |        215 |                 pandas.io.json._table_schema
import time:      1511 |       2738 |               pandas.io.json._json
import time:       178 |       2915 |             pandas.io.json
import time:       198 |        198 |             pandas.io.orc
import time:       733 |        733 |             pandas.io.parquet
import time:       256 |        256 |               pandas.compat.pickle_compat
import time:       652 |        907 |             pandas.io.pickle
import time:       456 |        456 |               pandas.core.computation.pytables
import time:      1761 |       2217 |             pandas.io.pytables
import time:       207 |        207 |               pandas.io.sas.sasreader
import time:       188 |        394 |             pandas.io.sas
import time:       134 |        134 |             pandas.io.spss
import time:       664 |        664 |             pandas.io.sql
import time:      2360 |       2360 |             pandas.io.stata
import time:      1030 |       1030 |             pandas.io.xml
import time:       307 |      23129 |           pandas.io.api
import time:       149 |        149 |           pandas.util._tester
import time:       182 |        182 |                 pandas._testing._random
import time:       222 |        222 |                 pandas._testing.contexts
import time:       390 |        793 |               pandas._testing._io
import time:       150 |        150 |               pandas._testing._warnings
import time:       204 |        204 |                 pandas._libs.testing
import time:       296 |        500 |               pandas._testing.asserters
import time:       129 |        129 |               pandas._testing.compat
import time:       685 |       2255 |             pandas._testing
import time:       128 |       2383 |           pandas.testing
import time:       125 |        125 |           pandas._version
import time:       505 |     184068 |         pandas
import time:       593 |     184661 |       cirq._compat
import time:      1317 |       1317 |       cirq.protocols.json_serialization
import time:       458 |        458 |       cirq.protocols.measurement_key_protocol
import time:       806 |        806 |       cirq.value.measurement_key
import time:      1352 |     189286 |     cirq.value.condition
import time:       402 |        402 |     cirq.value.duration
import time:       221 |        221 |         cirq.qis.channels
import time:       440 |        440 |         cirq.qis.clifford_tableau
import time:       988 |        988 |           cirq.qis.states
import time:       267 |       1255 |         cirq.qis.measures
import time:       191 |       2106 |       cirq.qis
import time:       182 |       2288 |     cirq.value.probability
import time:       925 |        925 |     cirq.value.product_state
import time:       182 |        182 |     cirq.value.periodic_value
import time:       124 |        124 |     cirq.value.random_state
import time:       181 |        181 |     cirq.value.timestamp
import time:       271 |     635408 |   cirq.value
import time:       263 |        263 |     cirq.linalg.combinators
import time:        48 |         48 |           atexit
import time:       246 |        246 |             distutils
import time:       564 |        810 |           distutils.version
import time:      2390 |       2390 |           logging
import time:       395 |        395 |             matplotlib._api.deprecation
import time:       336 |        730 |           matplotlib._api
import time:       397 |        397 |             shlex
import time:       144 |        144 |             matplotlib._c_internal_utils
import time:      1162 |       1702 |           matplotlib.cbook
import time:       187 |        187 |           matplotlib.docstring
import time:       362 |        362 |                 _uuid
import time:       567 |        928 |               uuid
import time:       208 |        208 |                 PIL._version
import time:       366 |        574 |               PIL
import time:       235 |        235 |                           xml
import time:       171 |        406 |                         xml.parsers
import time:       129 |        129 |                         pyexpat
import time:       172 |        706 |                       xml.parsers.expat
import time:       259 |        964 |                     defusedxml.common
import time:       342 |       1306 |                   defusedxml
import time:       119 |        119 |                     xml.etree
import time:       652 |        652 |                     xml.etree.ElementPath
import time:        74 |         74 |                     _elementtree
import time:       748 |       1591 |                   xml.etree.ElementTree
import time:        15 |         15 |                   _elementtree
import time:      1469 |       4379 |                 defusedxml.ElementTree
import time:       155 |        155 |                 PIL.ImageMode
import time:     29229 |      29229 |                 PIL.TiffTags
import time:       282 |        282 |                 PIL._binary
import time:       161 |        161 |                 PIL._util
import time:      1792 |       1792 |                 PIL._imaging
import time:       138 |        138 |                     cffi.lock
import time:       268 |        268 |                     cffi.error
import time:       488 |        488 |                     cffi.model
import time:       447 |       1339 |                   cffi.api
import time:       345 |       1684 |                 cffi
import time:       923 |      38602 |               PIL.Image
import time:       203 |        203 |               matplotlib._animation_data
import time:      1350 |      41655 |             matplotlib.animation
import time:       151 |        151 |                 PIL.ImageChops
import time:       262 |        262 |                 PIL.ImageFile
import time:       159 |        159 |                   PIL.GimpGradientFile
import time:       135 |        135 |                   PIL.GimpPaletteFile
import time:       162 |        162 |                   PIL.ImageColor
import time:       139 |        139 |                   PIL.PaletteFile
import time:       237 |        829 |                 PIL.ImagePalette
import time:       132 |        132 |                 PIL.ImageSequence
import time:       852 |       2225 |               PIL.PngImagePlugin
import time:       259 |        259 |                     matplotlib._path
import time:       292 |        292 |                       matplotlib.bezier
import time:       506 |        798 |                     matplotlib.path
import time:      1102 |       2158 |                   matplotlib.transforms
import time:      1186 |       3344 |                 matplotlib.ticker
import time:       812 |       4155 |               matplotlib.scale
import time:       700 |        700 |               matplotlib._color_data
import time:      1096 |       8175 |             matplotlib.colors
import time:     15482 |      15482 |               pyparsing
import time:      1600 |      17082 |             matplotlib.fontconfig_pattern
import time:       588 |        588 |             matplotlib._enums
import time:       367 |        367 |             cycler
import time:      1035 |      68898 |           matplotlib.rcsetup
import time:       170 |        170 |           matplotlib._version
import time:       325 |        325 |           matplotlib.ft2font
import time:       617 |        617 |             dateutil.rrule
import time:       229 |        229 |             matplotlib.units
import time:       777 |       1622 |           matplotlib.dates
import time:      7821 |      84698 |         matplotlib
import time:      4546 |       4546 |             matplotlib.artist
import time:       486 |        486 |               matplotlib._cm
import time:      1645 |       1645 |               matplotlib._cm_listed
import time:      7225 |       9355 |             matplotlib.cm
import time:       300 |        300 |             matplotlib.hatch
import time:       716 |        716 |               matplotlib.markers
import time:      6563 |       7279 |             matplotlib.lines
import time:      9606 |      31083 |           matplotlib.collections
import time:       543 |        543 |                 matplotlib._mathtext_data
import time:       394 |        936 |               matplotlib.afm
import time:     14236 |      15172 |             matplotlib.font_manager
import time:      7462 |       7462 |               matplotlib.patches
import time:       612 |        612 |                 matplotlib._text_layout
import time:      1169 |       1169 |                 matplotlib.dviread
import time:      4571 |       4571 |                   matplotlib._mathtext
import time:      1567 |       6138 |                 matplotlib.mathtext
import time:       305 |       8222 |               matplotlib.textpath
import time:      6182 |      21865 |             matplotlib.text
import time:       194 |        194 |                   matplotlib._pylab_helpers
import time:       945 |       1139 |                 matplotlib.backend_tools
import time:       161 |        161 |                 matplotlib.tight_bbox
import time:      1282 |       1282 |                 matplotlib.widgets
import time:       272 |        272 |                 matplotlib.backend_managers
import time:      1762 |       4613 |               matplotlib.backend_bases
import time:       288 |       4901 |             matplotlib.blocking_input
import time:       636 |      42572 |           matplotlib.contour
import time:       373 |        373 |           matplotlib.spines
import time:       948 |      74975 |         matplotlib.colorbar
import time:       275 |        275 |           matplotlib._image
import time:       697 |        972 |         matplotlib.image
import time:      9475 |       9475 |           matplotlib.style.core
